Number_on_img,Img_name,X,Y,Width,High,Mean_brightness,Img_std,Wc_coef_level,Fractal_dim_level_min,Fractal_dim_level_max,Eigenvalue_of_matrix_level,Fractal_dim,Eigenvalue_of_matrix,Answer
27,1.jpg,983,19,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17033867701045,22.0100831855441,0
28,1.jpg,764,22,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24345509884366,9.60365249202422,0
29,1.jpg,1984,22,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.26295094960566,31.4236997614963,0
30,1.jpg,1981,23,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.56270610342851,8.05051747385162,0
31,1.jpg,1050,24,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.56707621569443,9.05457352237884,0
32,1.jpg,1739,24,12,12,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.32652994062621,569.41143887546,0
33,1.jpg,966,26,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.58220177792678,21.4576553084324,0
34,1.jpg,1978,27,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24648588983683,15.7276369129459,0
35,1.jpg,1984,28,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15615405583382,6,0
36,1.jpg,1,43,2,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.402558368633,19.2810965208456,0
37,1.jpg,968,43,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.1583536222138,24.8589492707455,0
38,1.jpg,1970,43,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.25443896702713,40.4073154963328,0
39,1.jpg,939,46,4,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36999411298445,39.3915329073955,0
40,1.jpg,1016,50,6,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37732907917008,57.225990128914,0
41,1.jpg,1782,53,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.55603513840177,10.8841134399756,0
42,1.jpg,1013,55,6,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.20370037100607,43.9628267014799,0
43,1.jpg,864,63,5,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39755868955664,47.1965091763346,0
44,1.jpg,1746,63,12,12,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.3358247632772,456.261339975502,0
45,1.jpg,1742,64,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.1529108465798,6.03654103570123,0
46,1.jpg,157,66,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15838955743804,11.8260034619631,0
47,1.jpg,1796,67,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.57508478354592,5.02333197066314,0
48,1.jpg,162,68,8,7,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.32547479623144,143.895971615887,0
49,1.jpg,945,74,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15908576892863,5.33333333333333,0
50,1.jpg,1789,76,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.57874422083537,19.9535522656496,0
51,1.jpg,168,79,8,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38828844033248,110.795925926317,0
52,1.jpg,2,85,3,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.51646471462687,26.0896817467971,0
53,1.jpg,928,85,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37568080956894,19.0833242756474,0
54,1.jpg,1797,85,15,14,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.32519044755057,778.913184443393,0
55,1.jpg,171,89,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.25612367045441,28.2196905190598,0
56,1.jpg,1789,89,6,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.30533586809012,51.024529283806,0
57,1.jpg,881,90,4,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39969631555741,46.782269526495,0
58,1.jpg,1,93,4,8,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27901146167578,81.9086899578694,0
59,1.jpg,35,93,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.19040544067071,20.2506856992064,0
60,1.jpg,176,93,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.25944885369886,34.268245938559,0
61,1.jpg,184,94,5,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38814844449844,25.796508812757,0
62,1.jpg,90,96,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.18033387135296,59.3315749171275,0
63,1.jpg,186,97,5,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.54021702493275,46.4906080961182,0
64,1.jpg,240,97,15,25,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39061863484709,2958.4705925493,0
65,1.jpg,2074,97,6,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37680456827007,59.9359217503286,0
66,1.jpg,872,99,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.18734591303882,11.0200980461588,0
67,1.jpg,878,99,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16521152177824,29.5365262227336,0
68,1.jpg,885,101,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17620945389146,7.07299497165001,0
69,1.jpg,1811,102,6,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.34618420711239,64.5582434981646,0
70,1.jpg,1804,104,4,8,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27858936940415,71.3429345190435,0
71,1.jpg,1828,109,12,15,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36382952532872,938.833354141895,0
72,1.jpg,97,115,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.26166995611123,16.2712117210083,0
73,1.jpg,1842,118,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15339041812085,3.72549272213901,0
74,1.jpg,1854,125,3,7,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.30908545691821,33.4552647708221,0
75,1.jpg,253,126,4,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38667426002694,46.3574149401069,0
76,1.jpg,3,127,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17856295416548,6.91867219800803,0
77,1.jpg,80,129,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.58979203076033,12.7016619583296,0
78,1.jpg,986,132,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36727806914028,30.6608560809893,0
79,1.jpg,75,135,8,10,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36290063159953,240.807619401751,0
80,1.jpg,248,137,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.5893315422782,13.7146897590189,0
81,1.jpg,1854,139,4,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37120617392998,26.0047942841957,0
82,1.jpg,251,140,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.59830577100109,24.7642759865802,0
83,1.jpg,1861,140,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15989052996741,5.66666666666667,0
84,1.jpg,1858,145,4,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37342941703726,30.3273410892494,0
85,1.jpg,255,148,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37622152368999,31.7966331299719,0
86,1.jpg,295,149,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.25747732789935,39.0344899126084,0
87,1.jpg,2152,149,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15406700507511,11.6787957291157,0
88,1.jpg,2085,150,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24609770530967,12.4810883891471,0
89,1.jpg,1896,152,4,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39492199869363,35.5815758963781,0
90,1.jpg,2080,154,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15164233210746,7.35848043340546,0
91,1.jpg,247,156,28,20,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38385551275944,5249.40721722329,0
92,1.jpg,119,157,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.58577908866054,8.46466780797291,0
93,1.jpg,3070,164,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17058517777895,6.03654103570123,0
94,1.jpg,108,165,3,7,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.30202419116001,37.765431421256,0
95,1.jpg,109,173,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.5701852309533,12.4595681836951,0
96,1.jpg,129,174,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.59157113897268,15.9808794825257,0
97,1.jpg,133,176,16,16,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.32059446384784,1749.76227442286,0
98,1.jpg,124,177,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.187091249388,18.8533353788745,0
99,1.jpg,1815,189,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.59536731825233,14.1537504332767,0
100,1.jpg,141,193,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.2904026539585,25.479092949756,0
101,1.jpg,159,198,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.55823101196742,14.0072482547186,0
102,1.jpg,2140,206,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16084183071143,6.36798985696044,0
103,1.jpg,2214,209,2,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.1591533065944,12.1095002222004,0
104,1.jpg,215,212,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16684471466027,10.9179381339782,0
105,1.jpg,1888,214,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15055702768089,14.4226216494747,0
106,1.jpg,113,217,5,7,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39875285627323,59.8777790751182,0
107,1.jpg,2323,222,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15929760908927,30.8016458389645,0
108,1.jpg,126,225,20,16,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37427156973577,1328.52153704896,0
109,1.jpg,2433,228,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16041831305591,19.8621241186665,0
110,1.jpg,156,231,3,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.52077284153985,40.8857330668006,0
111,1.jpg,222,235,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15450129452079,1.59199746424011,0
112,1.jpg,143,245,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16027439901926,3.07108136049912,0
113,1.jpg,2131,261,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.26044128892691,22.2083468271961,0
114,1.jpg,2098,264,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.56762689682455,2.4,0
115,1.jpg,2334,280,4,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36725881983538,17.4941301582201,0
116,1.jpg,2401,283,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15994432915078,24.9863714386466,0
117,1.jpg,2323,288,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.5679046137609,4.66905947764731,0
118,1.jpg,2382,288,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24753941776373,39.1542279887194,0
119,1.jpg,240,289,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17161705015266,6,0
120,1.jpg,245,294,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15005505191997,8.46240474196866,0
121,1.jpg,2086,312,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.59472534022327,25.864688448922,0
122,1.jpg,2290,366,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.2489302984345,15.7606382795788,0
123,1.jpg,2409,378,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37586613025349,18.6490891914373,0
124,1.jpg,2401,379,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.28043594662055,39.9081749080711,0
125,1.jpg,2519,399,6,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.20610407579948,30.310373540023,0
126,1.jpg,3070,399,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15071357067804,1.17735686934487,0
127,1.jpg,2529,402,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.1554378662815,19.9167459929649,0
128,1.jpg,2537,404,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16682325693645,15.3477815680283,0
129,1.jpg,2554,410,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16314886798983,11.0200980461588,0
130,1.jpg,2793,428,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.58063660307276,4.66905947764731,0
131,1.jpg,2842,429,40,33,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37633826079425,16947.2685826484,0
132,1.jpg,2819,446,5,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.33286140181911,90.4964644981655,0
133,1.jpg,3024,450,13,33,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.30353994948411,8841.42273524788,0
134,1.jpg,3056,450,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.14414445902428,2.25612932142366,0
135,1.jpg,2802,451,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16501921115759,14.901970888556,0
136,1.jpg,2961,451,31,46,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.34823562044791,25040.9762131902,0
137,1.jpg,416,455,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17154080462285,9.66666666666667,0
138,1.jpg,2744,456,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.56068750051511,1.65488081283089,0
139,1.jpg,2807,457,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15934543793789,3.33333333333333,0
140,1.jpg,531,458,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.57457312967489,6.60890869372142,0
141,1.jpg,3059,459,14,18,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.3461292827077,3371.65200250999,0
142,1.jpg,2739,460,8,7,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.32230925101982,97.9062146183906,0
143,1.jpg,3002,460,7,8,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.31987112009786,119.038844199018,0
144,1.jpg,2889,461,12,9,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37794781887969,571.636500651704,0
145,1.jpg,2806,462,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16392235479243,25.1396919720941,0
146,1.jpg,2716,464,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.2456007197504,8.39066866959197,0
147,1.jpg,2802,465,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16785387239729,13.5401208795586,0
148,1.jpg,3012,465,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16726936808435,20.5211847718261,0
149,1.jpg,2855,466,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27692670735704,27.5882125902102,0
150,1.jpg,2903,466,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17655852623577,21.6351244585014,0
151,1.jpg,2910,467,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16907984168323,12.2843254419965,0
152,1.jpg,2800,469,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15761390754721,3.72549272213901,0
153,1.jpg,2860,470,14,9,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37917405176412,511.585759115844,0
154,1.jpg,2909,470,25,18,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.377345282779,3276.03010277618,0
155,1.jpg,3011,471,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.25425091720633,46.7030541927043,0
156,1.jpg,3049,473,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15752058097477,9.68182891026077,0
157,1.jpg,1977,474,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16760438771921,8.33333333333333,0
158,1.jpg,2754,474,7,14,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27539373637746,239.191864394697,0
159,1.jpg,3002,475,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.55804180854124,6.31871838846991,0
160,1.jpg,2880,476,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15707111245551,2.66666666666667,0
161,1.jpg,2101,477,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24111938089915,8.76062477050738,0
162,1.jpg,2944,477,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27089235506483,27.4847353768283,0
163,1.jpg,2875,478,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27742516905488,22.0637978231686,0
164,1.jpg,2998,479,5,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.52821730319753,39.2571659825588,0
165,1.jpg,3044,484,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.25919502570258,19.7139988375426,0
166,1.jpg,3071,484,2,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16044125401602,19.5267435294614,0
167,1.jpg,2884,485,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36372513724657,10.5727642843884,0
168,1.jpg,2942,485,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.59447729678537,14.3305089946259,0
169,1.jpg,2881,492,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24668006198717,11.4490843720667,0
170,1.jpg,2744,493,5,7,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39183555542949,88.6005286406774,0
171,1.jpg,2740,497,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.2390926534519,9.94246508139096,0
172,1.jpg,2749,504,14,9,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36027840803198,408.210963084075,0
173,1.jpg,2045,511,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.14897286678816,7.77613395419959,0
174,1.jpg,2932,514,6,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39191734890041,71.8329430390455,0
175,1.jpg,2718,517,13,15,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.331796297605,699.899873853984,0
176,1.jpg,2732,519,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16047289588162,12.6841380601201,0
177,1.jpg,2760,519,6,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38555230938144,57.3910613564181,0
178,1.jpg,2755,522,4,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39077167289538,33.7302867630775,0
179,1.jpg,2405,527,5,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.3327238888611,69.3806991678528,0
180,1.jpg,3012,528,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.2815779488351,38.4192093327206,0
181,1.jpg,2749,532,10,10,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.31085746480806,459.878987953929,0
182,1.jpg,2991,532,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17788392379182,5.13029619295651,0
183,1.jpg,2716,533,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15961355201714,4.71333384471862,0
184,1.jpg,3015,534,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.60839657474803,15.2915813512436,0
185,1.jpg,2411,535,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27886537344932,20.7798411977937,0
186,1.jpg,3016,540,2,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16033499685279,15.4718343407583,0
187,1.jpg,2749,543,7,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.36278007676941,133.561001286364,0
188,1.jpg,3047,543,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.27777923538789,40.6738879334423,0
189,1.jpg,2708,548,25,18,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38451770535571,3917.07975857848,0
190,1.jpg,3070,554,3,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.20969131183745,41.4483988379407,0
191,1.jpg,3048,557,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.601945871632,13.7098167069859,0
192,1.jpg,3070,563,2,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15666480532051,27.0934969355829,0
193,1.jpg,2640,570,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17272869692473,8.41065963661122,0
194,1.jpg,2765,571,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.2955713600153,28.9381876843832,0
195,1.jpg,2615,572,10,9,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.33238246152743,381.347905518993,0
196,1.jpg,2711,578,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.3702561804995,19.5499091498414,0
197,1.jpg,2713,583,2,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.57054878589013,5.21567405192126,0
198,1.jpg,2603,585,20,27,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.34908847325987,2524.59929738529,0
199,1.jpg,2708,585,3,8,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38353288517539,52.470959144688,0
200,1.jpg,2637,588,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.20965134708796,29.4339217336218,0
201,1.jpg,2519,598,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.1841743389802,11.3082493731501,0
202,1.jpg,2707,617,7,8,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.3358477238519,139.117524527558,0
203,1.jpg,2664,620,8,9,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.33490270884236,181.18616715365,0
204,1.jpg,2693,621,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17027220837704,9.039561180982,0
205,1.jpg,2647,632,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17655852623577,10.4539020868802,0
206,1.jpg,2644,635,4,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15798144507458,21.741583214989,0
207,1.jpg,2667,635,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.18291137457578,5.77385157886111,0
208,1.jpg,435,690,19,10,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.64469741115199,9579.14730905373,1
209,1.jpg,2552,700,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.26735115803303,26.1934079366115,0
210,1.jpg,567,743,4,21,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.44012007168505,1236.41430667193,1
211,1.jpg,63,802,9,9,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.51908083713019,540.987736213742,0
212,1.jpg,3070,807,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37231409216989,20.1090343684142,0
213,1.jpg,102,809,12,14,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.58617417552187,2022.94523432761,1
214,1.jpg,1043,875,14,10,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.79543700509264,28231.2220534938,1
215,1.jpg,3070,932,3,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.38107781717543,16.0790717424038,0
216,1.jpg,1483,939,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.15096069542429,3.07108136049912,0
217,1.jpg,133,957,6,13,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.70699377053657,2701.6678450448,1
